+--------+-------+------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+
| Letter | Count | Names                                                                                                | Match                                                                 | StartDate  |
| S      | 8     | [Singh, Singh, Singh, Singh, Sidana, Sharma, Sharma, Sran]                                           | Punjab v Himachal Pradesh                                             | 2017-10-06 |
| S      | 8     | [Singh, Singh, Singh, Sidana, Sharma, Sharma, Sharma, Sran]                                          | Punjab v Vidarbha                                                     | 2017-10-14 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Shaurya, Singh, Sultan]                                          | Manipur v Sikkim                                                      | 2018-11-01 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Singh, Singh, Singh]                                             | Manipur v Mizoram                                                     | 2018-11-20 |
| S      | 8     | [Singh, Singh, Singh, Singh, Singh, Sharma, Singh, Sharma]                                           | Punjab v Tamil Nadu                                                   | 2018-12-14 |
| S      | 8     | [Singh, Singh, Singh, Sultan, Singh, Singh, Singh, Singh]                                            | Manipur v Mizoram                                                     | 2019-12-09 |
| S      | 8     | [Singh, Sultan, Singh, Singh, Singh, Singh, Singh, Singh]                                            | Manipur v Bihar                                                       | 2020-01-11 |
| A      | 8     | [Ali, Ali, Azam, Afridi, Alam, Ashraf, Ali, Ali]                                                     | Pakistan v South Africa                                               | 2021-01-26 |
| A      | 8     | [Ali, Ali, Azam, Alam, Ashraf, Ali, Ali, Afridi]                                                     | Pakistan v South Africa                                               | 2021-02-04 |
| A      | 8     | [Ali, Ali, Azam, Alam, Ashraf, Ali, Ali, Afridi]                                                     | Pakistan v Zimbabwe                                                   | 2021-04-29 |
| A      | 8     | [Ali, Ali, Azam, Alam, Ashraf, Ali, Afridi, Abbas]                                                   | Pakistan v West Indies                                                | 2021-08-12 |
| B      | 7     | [Bowra, Bullen, Booker, Bedster, Brazier, Boult, Boorman]                                            | A to C v Rest of the Alphabet                                         | 1786-08-02 |
| W      | 7     | [Wells, Walker, Walker, Whitehead, Walker, Winchilsea, Wells]                                        | Surrey v England                                                      | 1798-08-13 |
| W      | 7     | [Wells, Wisden, Walker, Walker, Walker, Walker, Walker]                                              | Middlesex v Kent                                                      | 1859-06-16 |
| W      | 7     | [Wells, Walker, Walker, Wisden, Walker, Walker, Walker]                                              | Middlesex v Kent                                                      | 1859-07-25 |
| H      | 7     | [Hirst, Hillkirk, Hay, Huth, Howe, Hewitt, Hornby]                                                   | Gentlemen of the North v Players of the North                         | 1877-09-06 |
| S      | 7     | [Shalders, Slatem, Sinclair, Schwarz, Smith, Shepstone, Sinclair]                                    | Transvaal v Orange Free State                                         | 1904-01-01 |
| H      | 7     | [Haig, Hancock, Hendren, Hartley, Hearne, Hardstaff, Hart]                                           | Marylebone Cricket Club v Wales                                       | 1926-06-02 |
| B      | 7     | [Brookes, Barron, Bennett, Barrick, Brice, Brown, Broderick]                                         | Northamptonshire v Essex                                              | 1949-07-16 |
| A      | 7     | [Aminuddin, Azeem, Ahmed, Arif, Ahmed, Ahmed, Ahmed]                                                 | North-West Frontier Province v Railways                               | 1953-11-20 |
| A      | 7     | [Ahmed, Ali, Arif, Ahmed, Aqil, Arif, Ali]                                                           | Sind B v Karachi A                                                    | 1957-10-11 |
| A      | 7     | [Ahmed, Ali, Arif, Ahmed, Arif, Aqil, Ahmed]                                                         | Sind B v Karachi C                                                    | 1957-11-01 |
| A      | 7     | [Ahmed, Arif, Afzal, Abid, Ahmed, Ahmed, Ahmed]                                                      | Rawalpindi v Peshawar                                                 | 1958-12-30 |
| R      | 7     | [Rao, Ramprasad, Rao, Rao, Rao, Rao, Raju]                                                           | Andhra v Mysore                                                       | 1959-11-21 |
| S      | 7     | [Singh, Singh, Singh, Singh, Saxena, Singh, Singh]                                                   | Southern Punjab v Delhi                                               | 1960-01-31 |
| S      | 7     | [Singh, Singh, Singh, Singh, Saxena, Singh, Singh]                                                   | Southern Punjab v Eastern Punjab                                      | 1960-02-04 |
| A      | 7     | [Abid, Azeem, Ahmed, Ahmed, Arif, Afzal, Akhtar]                                                     | Rawalpindi and Peshawar v Lahore                                      | 1961-01-06 |
| A      | 7     | [Asghar, Abid, Ahmed, Afzal, Arif, Asghar, Akhtar]                                                   | Rawalpindi v Sargodha                                                 | 1961-11-17 |
| A      | 7     | [Asghar, Abid, Ahmed, Afzal, Ahmed, Asghar, Akhtar]                                                  | Rawalpindi v Peshawar                                                 | 1961-11-25 |
| A      | 7     | [Ahmed, Ahmed, Ahmed, Ahmed, Ali, Ahmed, Aziz-ur-Rehman]                                             | Bahawalpur v Karachi Blues                                            | 1961-11-26 |
| A      | 7     | [Ahmed, Ahmed, Ahmed, Ali, Ahmed, Aziz-ur-Rehman, Ahmed]                                             | Bahawalpur v Lahore B                                                 | 1961-11-30 |
| A      | 7     | [Asghar, Abid, Afzal, Ahmed, Ahmed, Asghar, Akhtar]                                                  | Rawalpindi v Combined Services                                        | 1961-12-13 |
| S      | 7     | [Singh, Singh, Singh, Shah, Singh, Sunderam, Shetty]                                                 | Rajasthan v Vidarbha                                                  | 1961-12-15 |
| A      | 7     | [Aizazuddin, Ali, Ahmed, Ali, Ashraf, Ajmal, Aziz]                                                   | Khairpur v Karachi Whites                                             | 1964-03-20 |
| A      | 7     | [Ahmed, Ahmed, Awan, Ahmed, Ali, Ahmed, Ahmed]                                                       | Combined Services v Sargodha                                          | 1964-12-02 |
| A      | 7     | [Ahmed, Awan, Ali, Ahmed, Ahmed, Ahmed, Ahmed]                                                       | Combined Services v Lahore Education Board                            | 1964-12-07 |
| A      | 7     | [Ahmed, Ahmed, Ali, Awan, Ahmed, Abbasi, Aziz-ur-Rehman]                                             | Bahawalpur v Karachi Blues                                            | 1965-02-17 |
| R      | 7     | [Ramprasad, Rao, Reddy, Ramamurthy, Rao, Ramana, Reddi]                                              | Andhra v Hyderabad                                                    | 1966-11-11 |
| A      | 7     | [Abbas, Ali, Ali, Alam, Aziz, Ansari, Ali]                                                           | Hyderabad Blues v Quetta                                              | 1969-08-19 |
| R      | 7     | [Ramprasad, Rao, Ramamurthy, Rao, Raju, Ramamurthy, Radhagopal]                                      | Andhra v Hyderabad                                                    | 1969-09-19 |
| R      | 7     | [Ramprasad, Rao, Ramamurthy, Rao, Raju, Raju, Rao]                                                   | Andhra v Tamil Nadu                                                   | 1970-11-21 |
| S      | 7     | [Singh, Singh, Singh, Sharma, Singh, Singh, Singh]                                                   | Rajasthan v Uttar Pradesh                                             | 1970-12-11 |
| R      | 7     | [Ramprasad, Raj, Ramamurthy, Rao, Rao, Ramprasad, Raju]                                              | Andhra v Hyderabad                                                    | 1971-12-18 |
| S      | 7     | [Singh, Sharma, Sharma, Singh, Singh, Sharma, Singh]                                                 | Rajasthan v Uttar Pradesh                                             | 1973-12-15 |
| A      | 7     | [Akhtar, Afzal, Ahmed, Ahmed, Akram, Abbasi, Ahmed]                                                  | Pakistan Universities v Lahore B                                      | 1975-10-18 |
| S      | 7     | [Saldanha, Shetty, Singh, Saldanha, Shaikh, Salgaoncar, Sharangapani]                                | Maharashtra v Saurashtra                                              | 1975-12-13 |
| S      | 7     | [Saldanha, Singh, Saldanha, Solkar, Shetty, Salgaoncar, Shaikh]                                      | Maharashtra v Baroda                                                  | 1976-12-11 |
| A      | 7     | [Ahmed, Ali, Akhtar, Ahmed, Ali, Ahmed, Ali]                                                         | Punjab v National Bank of Pakistan                                    | 1978-09-08 |
| A      | 7     | [Ahmed, Akhtar, Ahmed, Alam, Ahmed, Ahmed, Ahmed]                                                    | House Building Finance Corporation v Karachi                          | 1980-10-22 |
| A      | 7     | [Anwar, Arif, Ahmed, Afzal, Amin, Ahmed, Ahmed]                                                      | State Bank of Pakistan v United Bank Limited                          | 1983-11-25 |
| A      | 7     | [Ali, Ahmed, Abbas, Alam, Ahmed, Alam, Ahmed]                                                        | House Building Finance Corporation v Allied Bank Limited              | 1983-12-25 |
| A      | 7     | [Ali, Ahmed, Alam, Ahmed, Ahmed, Abbas, Alam]                                                        | House Building Finance Corporation v Pakistan Automobiles Corporation | 1984-01-06 |
| A      | 7     | [Ali, Ahmed, Ahmed, Alam, Ahmed, Ahmed, Ahmed]                                                       | House Building Finance Corporation v Pakistan International Airlines  | 1984-01-12 |
| A      | 7     | [Anwar, Azhar, Afaq, Anwar, Arif, Ahmed, Ahmed]                                                      | Rawalpindi v Dera Ismail Khan                                         | 1984-10-01 |
| A      | 7     | [Ali, Ahmed, Ahmed, Akram, Ali, Amin, Ali]                                                           | Sukkur v Karachi Whites                                               | 1984-10-08 |
| S      | 7     | [Singh, Sidhu, Sharma, Singh, Singh, Sharma, Singh]                                                  | Punjab v Delhi                                                        | 1984-11-30 |
| A      | 7     | [Arif, Ahmed, Ahmed, Alam, Alam, Ahmed, Ahmed]                                                       | House Building Finance Corporation v Pakistan Automobiles Corporation | 1984-12-11 |
| A      | 7     | [Ali, Ahmed, Akhtar, Ahmed, Anjum, Ali, Aziz]                                                        | United Bank Limited v Water and Power Development Authority           | 1985-01-04 |
| A      | 7     | [Arif, Ahmed, Abbas, Ahmed, Alam, Alam, Ahmed]                                                       | House Building Finance Corporation v Allied Bank Limited              | 1985-01-16 |
| A      | 7     | [Ahmed, Abbas, Ahmed, Alam, Alam, Ahmed, Ahmed]                                                      | House Building Finance Corporation v United Bank Limited              | 1985-01-28 |
| A      | 7     | [Akhtar, Ali, Ahmed, Anjum, Ali, Ahmed, Aziz]                                                        | United Bank Limited v Railways                                        | 1985-02-03 |
| S      | 7     | [Singh, Sidhu, Singh, Sharma, Singh, Sharma, Singh]                                                  | Punjab v Delhi                                                        | 1985-11-02 |
| S      | 7     | [Singh, Sidhu, Sharma, Singh, Sharma, Singh, Singh]                                                  | Punjab v Himachal Pradesh                                             | 1985-11-07 |
| A      | 7     | [Ahmed, Ali, Akbar, Ahmed, Ali, Akbar, Alam]                                                         | Lahore City Blues v Bahawalpur                                        | 1985-11-13 |
| S      | 7     | [Singh, Singh, Sen, Sharma, Sen, Sharma, Sharma]                                                     | Himachal Pradesh v Delhi                                              | 1985-11-25 |
| A      | 7     | [Arif, Abbas, Ahmed, Ahmed, Alam, Ahmed, Ahmed]                                                      | House Building Finance Corporation v Karachi                          | 1986-01-13 |
| S      | 7     | [Sidhu, Singh, Sharma, Singh, Sharma, Saggi, Singh]                                                  | Punjab v Jammu and Kashmir                                            | 1986-09-20 |
| S      | 7     | [Sidhu, Singh, Sharma, Sharma, Singh, Singh, Singh]                                                  | Punjab v Himachal Pradesh                                             | 1986-11-29 |
| S      | 7     | [Sidhu, Singh, Singh, Sharma, Sharma, Singh, Singh]                                                  | Punjab v Delhi                                                        | 1986-12-22 |
| S      | 7     | [Sharma, Singh, Singh, Sharma, Sidhu, Saggi, Singh]                                                  | Punjab v Haryana                                                      | 1987-01-12 |
| S      | 7     | [Singh, Sharma, Sen, Sharma, Sen, Singh, Sharma]                                                     | Himachal Pradesh v Haryana                                            | 1987-11-19 |
| A      | 7     | [Akhtar, Ahmed, Anwar, Ahmed, Ali, Ahmed, Anwar]                                                     | United Bank Limited v Agriculture Development Bank of Pakistan        | 1989-02-06 |
| S      | 7     | [Srikkanth, Singh, Sivaramakrishnan, Singh, Sivaramakrishnan, Subramaniam, Sanjay]                   | Tamil Nadu v Maharashtra                                              | 1989-02-17 |
| A      | 7     | [Ahmed, Ali, Ali, Anwar, Ahmed, Ahmed, Ahmed]                                                        | Karachi Whites v Karachi Blues                                        | 1989-11-27 |
| A      | 7     | [Anwar, Ahmed, Ahmed, Anwar, Ahmed, Ahmed, Ali]                                                      | United Bank Limited v National Bank of Pakistan                       | 1990-03-05 |
| A      | 7     | [Anwar, Ahmed, Ahmed, Ali, Ahmed, Ahmed, Anwar]                                                      | United Bank Limited v Pakistan National Shipping Corporation          | 1990-03-10 |
| A      | 7     | [Ali, Akhtar, Ahmed, Ahmed, Anwar, Ahmed, Amanullah]                                                 | United Bank Limited v Pakistan University Grants Commission           | 1990-10-06 |
| A      | 7     | [Ali, Akhtar, Ahmed, Ahmed, Ahmed, Anwar, Amanullah]                                                 | United Bank Limited v Agriculture Development Bank of Pakistan        | 1990-10-13 |
| A      | 7     | [Anwar, Abbasi, Ahmed, Afaq, Ahmed, Akhtar, Abbasi]                                                  | Rawalpindi v Peshawar                                                 | 1990-12-08 |
| A      | 7     | [Anwar, Ahmed, Abbasi, Azhar, Afaq, Akhtar, Ahmed]                                                   | Rawalpindi v Sargodha                                                 | 1990-12-22 |
| S      | 7     | [Sharma, Singh, Sharma, Sharma, Singh, Saini, Singh]                                                 | Delhi v Jammu and Kashmir                                             | 1991-01-27 |
