Player,Batting Classification,Bowling Classification,DOB,Debut Date
GS Blewett,Right-hand batsman,Right-arm medium pace,1971-10-28,2003-06-16
DP Fulton,Right-hand batsman,Slow left-arm orthodox,1971-11-15,2003-06-16
MA Carberry,Left-hand batsman,Right-arm off-break,1980-09-29,2003-06-16
GO Jones,Right-hand batsman,Right-arm medium pace,1976-07-14,2003-06-16
MJ Dennington,Right-hand batsman,Right-arm fast-medium,1982-10-16,2003-06-16
A Sheriyar,Right-hand batsman,Left-arm fast-medium,1973-11-15,2003-06-16
DI Stevens,Right-hand batsman,Right-arm medium pace,1976-04-30,2003-06-16
V Sehwag,Right-hand batsman,Right-arm off-break,1978-10-20,2003-06-16
BJ Hodge,Right-hand batsman,Right-arm off-break,1974-12-29,2003-06-16
DL Maddy,Right-hand batsman,Right-arm medium pace,1974-05-23,2003-06-16
PAJ DeFreitas,Right-hand batsman,Right-arm fast-medium,1966-02-18,2003-06-16
PA Nixon,Left-hand batsman,null,1970-10-21,2003-06-16
JN Snape,Right-hand batsman,Right-arm off-break,1973-04-27,2003-06-16
JL Sadler,Left-hand batsman,Leg-break and googly,1981-11-19,2003-06-16
DD Masters,Right-hand batsman,Right-arm medium-fast,1978-04-22,2003-06-16
CE Dagnall,Right-hand batsman,Right-arm fast-medium,1976-07-10,2003-06-16
JO Grove,Right-hand batsman,Right-arm fast-medium,1979-07-03,2003-06-16
GM Hamilton,Left-hand batsman,Right-arm medium-fast,1974-09-16,2003-06-16
MB Loye,Right-hand batsman,Right-arm off-break,1972-09-27,2003-06-16
SG Law,Right-hand batsman,Leg-break and googly  Right-arm medium pace,1968-10-18,2003-06-16
CP Schofield,Left-hand batsman,Leg-break and googly,1978-10-06,2003-06-16
CL Hooper,Right-hand batsman,Right-arm off-break,1966-12-15,2003-06-16
IJ Sutcliffe,Left-hand batsman,Right-arm off-break,1974-12-20,2003-06-16
MJ Chilton,Right-hand batsman,Right-arm medium pace,1976-10-02,2003-06-16
G Chapple,Right-hand batsman,Right-arm medium-fast,1974-01-23,2003-06-16
WK Hegg,Right-hand batsman,Right-arm medium pace,1968-02-23,2003-06-16
KW Hogg,Left-hand batsman,Right-arm fast-medium,1983-07-02,2003-06-16
SI Mahmood,Right-hand batsman,Right-arm fast-medium,1981-12-21,2003-06-16
PJ Martin,Right-hand batsman,Right-arm fast-medium,1968-11-15,2003-06-16
GJ Smith,Right-hand batsman,Left-arm fast-medium,1971-10-30,2003-06-16
PM Hutchison,Left-hand batsman,Left-arm fast-medium,1977-06-09,2003-06-16
IDK Salisbury,Right-hand batsman,Leg-break and googly,1970-01-21,2003-06-16
GM Andrew,Left-hand batsman,Right-arm fast-medium,1983-12-27,2003-06-18
LR Prittipaul,Right-hand batsman,Right-arm medium pace,1979-10-19,2003-06-18
CD Hopkinson,Right-hand batsman,Right-arm medium pace,1981-09-14,2003-06-18
AA Noffke,Right-hand batsman,Right-arm fast-medium,1977-04-30,2003-06-18
JH Dawes,Right-hand batsman,Right-arm fast-medium,1970-08-29,2003-06-18
SD Peters,Right-hand batsman,Leg-break,1978-12-10,2003-06-18
TMB Bailey,Right-hand batsman,null,1976-08-28,2003-06-19
J Lewis,Right-hand batsman,Right-arm medium-fast,1975-08-26,2003-06-19
AJ Swann,Right-hand batsman,Right-arm off-break,1976-10-26,2003-06-19
J Wood,Right-hand batsman,Right-arm fast-medium,1970-07-22,2003-06-19
BJ Trott,Right-hand batsman,Right-arm fast-medium,1975-03-14,2003-06-19
DG Brandy,Right-hand batsman,Right-arm medium pace,1981-09-14,2003-06-20
DR Brown,Right-hand batsman,Right-arm fast-medium,1969-10-29,2003-06-20
OT Parkin,Right-hand batsman,Right-arm medium pace,1972-09-24,2003-06-20
VJ Craven,Left-hand batsman,Right-arm medium pace,1980-07-31,2003-06-20
ML Love,Right-hand batsman,Right-arm off-break,1974-03-30,2003-06-20
NEL Gunter,Left-hand batsman,Right-arm fast-medium,1981-05-12,2003-06-21
SR Patel,Right-hand batsman,Slow left-arm orthodox,1984-11-30,2003-06-21
MA Hardinges,Right-hand batsman,Right-arm medium pace,1978-02-05,2003-06-21
DDJ Robinson,Right-hand batsman,Right-arm medium-fast,1973-03-02,2003-06-21
A Habib,Right-hand batsman,Right-arm medium-fast,1972-02-07,2003-06-21
LE Plunkett,Right-hand batsman,Right-arm fast-medium,1985-04-06,2003-06-23
DD Cherry,Left-hand batsman,Right-arm medium pace,1980-02-07,2003-06-23
RE Watkins,Left-hand batsman,Right-arm medium pace,1983-06-09,2003-06-23
SJ Adshead,Right-hand batsman,null,1980-01-29,2003-06-23
M Hayward,Right-hand batsman,Right-arm fast,1977-03-06,2003-06-23
SA Newman,Left-hand batsman,Right-arm medium pace,1979-11-03,2003-06-23
ET Smith,Right-hand batsman,Right-arm medium-fast,1977-07-19,2003-06-23
Mohammad Sami,Right-hand batsman,Right-arm fast,1981-02-24,2003-06-23
SP Pope,Right-hand batsman,null,1983-01-25,2003-06-23
J Hughes,Right-hand batsman,Right-arm medium pace,1981-06-30,2003-06-24
Saqlain Mushtaq,Right-hand batsman,Right-arm off-break,1976-12-29,2003-06-24
JJ Haynes,Right-hand batsman,null,1974-07-05,2003-06-24
GI Maiden,Right-hand batsman,Right-arm off-break,1979-07-22,2003-06-24
OJ Newby,Right-hand batsman,Right-arm fast-medium,1984-08-26,2003-06-24
Shoaib Akhtar,Right-hand batsman,Right-arm fast,1975-08-13,2003-06-24
TR Ward,Right-hand batsman,Right-arm off-break,1968-01-18,2003-06-24
KM Krikken,Right-hand batsman,null,1969-04-09,2003-06-24
MA Wagh,Right-hand batsman,Right-arm off-break,1976-10-20,2003-06-24
SA Khalid,Right-hand batsman,Right-arm off-break,1982-10-06,2003-06-24
JDC Bryant,Right-hand batsman,Right-arm (unknown style),1976-02-04,2003-06-24
NJ Edwards,Left-hand batsman,Right-arm medium pace,1983-10-14,2003-06-24
WR Smith,Right-hand batsman,Right-arm off-break,1982-09-28,2003-06-24
CE Shreck,Right-hand batsman,Right-arm fast-medium,1978-01-06,2003-06-24
JO Troughton,Left-hand batsman,Slow left-arm orthodox,1979-03-02,2003-07-19
R Clarke,Right-hand batsman,Right-arm fast-medium,1981-09-29,2003-07-19
T Frost,Right-hand batsman,null,1975-11-17,2003-07-19
DJ Watson,Right-hand batsman,Right-arm medium pace,1973-05-15,2004-04-07
I Khan,Left-hand batsman,Right-arm off-break,1984-04-27,2004-04-07
SM Pollock,Right-hand batsman,Right-arm fast-medium,1973-07-16,2004-04-07
DM Benkenstein,Right-hand batsman,Right-arm off-break  Right-arm medium pace,1974-06-09,2004-04-07
HM Amla,Right-hand batsman,Right-arm medium pace,1983-03-31,2004-04-07
AM Amla,Right-hand batsman,Leg-break,1979-09-15,2004-04-07
JC Kent,Right-hand batsman,Right-arm medium-fast,1979-05-07,2004-04-07
L Klusener,Left-hand batsman,Right-arm fast-medium,1971-09-04,2004-04-07
D Smit,Right-hand batsman,Leg-break,1984-01-28,2004-04-07
ANW Tweedie,Right-hand batsman,Right-arm fast-medium,1975-11-27,2004-04-07
ZA Abrahim,Left-hand batsman,Right-arm fast-medium,1972-06-05,2004-04-07
GC Smith,Left-hand batsman,Right-arm off-break,1981-02-01,2004-04-07
HH Gibbs,Right-hand batsman,Leg-break,1974-02-23,2004-04-07
AG Puttick,Left-hand batsman,Right-arm medium pace,1980-12-11,2004-04-07
NC Johnson,Left-hand batsman,Right-arm off-break  Right-arm fast-medium,1970-01-24,2004-04-07
AG Prince,Left-hand batsman,Right-arm off-break,1977-05-28,2004-04-07
JP Duminy,Left-hand batsman,Right-arm off-break,1984-04-14,2004-04-07
TL Tsolekile,Right-hand batsman,Right-arm off-break,1980-10-09,2004-04-07
AC Dawson,Right-hand batsman,Right-arm medium-fast,1969-11-27,2004-04-07
Q Friend,Right-hand batsman,Right-arm fast-medium,1982-02-16,2004-04-07
RK Kleinveldt,Right-hand batsman,Right-arm medium-fast,1983-03-15,2004-04-07
CM Willoughby,Left-hand batsman,Left-arm fast-medium,1974-12-03,2004-04-07
JM Otto,Right-hand batsman,Right-arm medium pace,1980-09-04,2004-04-08
AM Bacher,Right-hand batsman,Right-arm medium pace,1973-10-29,2004-04-08
HD Ackerman,Right-hand batsman,Right-arm medium pace,1973-02-14,2004-04-08
JL Ontong,Right-hand batsman,Leg-break  Right-arm off-break,1980-01-04,2004-04-08
G Rowley,Right-hand batsman,Right-arm medium pace,1979-03-07,2004-04-08
VB van Jaarsveld,Left-hand batsman,Right-arm medium pace,1985-02-02,2004-04-08
DN Crookes,Right-hand batsman,Right-arm off-break,1969-03-05,2004-04-08
ET Nkwe,Right-hand batsman,Right-arm medium-fast,1983-02-08,2004-04-08
AM Omar,Right-hand batsman,null,1977-05-07,2004-04-08
CK Langeveldt,Right-hand batsman,Right-arm fast-medium,1974-12-17,2004-04-08
GA Roe,Right-hand batsman,Right-arm fast-medium,1973-07-09,2004-04-08
AN Petersen,Right-hand batsman,Right-arm medium pace,1980-11-25,2004-04-08
JA Rudolph,Left-hand batsman,Leg-break and googly,1981-05-04,2004-04-08
M van Jaarsveld,Right-hand batsman,Right-arm off-break,1974-06-18,2004-04-08
JM Kemp,Right-hand batsman,Right-arm fast-medium,1977-10-02,2004-04-08
JA Morkel,Left-hand batsman,Right-arm medium-fast,1981-06-10,2004-04-08
DJ Cullinan,Right-hand batsman,Right-arm off-break,1967-03-04,2004-04-08
BL Reddy,Right-hand batsman,Right-arm fast-medium,1983-11-06,2004-04-08
AB de Villiers,Right-hand batsman,Right-arm medium pace,1984-02-17,2004-04-08
GH Bodi,Left-hand batsman,Slow left-arm chinaman,1979-01-04,2004-04-08
AC Thomas,Right-hand batsman,Right-arm fast-medium,1977-02-09,2004-04-08
MN van Wyk,Right-hand batsman,Slow left-arm orthodox,1979-03-20,2004-04-11
HH Dippenaar,Right-hand batsman,Right-arm off-break,1977-06-14,2004-04-11
N Boje,Left-hand batsman,Slow left-arm orthodox,1973-03-20,2004-04-11
LE Bosman,Right-hand batsman,Right-arm medium pace,1977-04-14,2004-04-11
JJ van der Wath,Right-hand batsman,Right-arm fast-medium,1978-01-10,2004-04-11
B Hector,Right-hand batsman,Right-arm medium pace,1979-08-05,2004-04-11
WA Deacon,Left-hand batsman,Left-arm fast-medium,1980-06-23,2004-04-11
CA Thyssen,Right-hand batsman,Right-arm fast-medium,1984-03-25,2004-04-11
R Telemachus,Right-hand batsman,Right-arm fast-medium,1973-03-27,2004-04-11
MS Tshabalala,Right-hand batsman,Right-arm off-break,1984-11-19,2004-04-11
AA Donald,Right-hand batsman,Right-arm fast,1966-10-20,2004-04-11
CB Sugden,Right-hand batsman,Right-arm medium pace,1974-03-07,2004-04-11
ND Hewer,Right-hand batsman,Right-arm medium-fast,1984-07-06,2004-04-11
G Dros,Right-hand batsman,Right-arm medium pace,1973-04-02,2004-04-13
LL Gamiet,Right-hand batsman,Right-arm medium pace,1978-01-23,2004-04-13
CC Bradfield,Left-hand batsman,Right-arm medium pace,1975-01-18,2004-04-13
RJ Peterson,Left-hand batsman,Slow left-arm orthodox,1979-08-04,2004-04-13
MV Boucher,Right-hand batsman,Right-arm medium pace,1976-12-03,2004-04-13
A Jacobs,Left-hand batsman,Right-arm off-break,1977-03-13,2004-04-13
SC Pope,Right-hand batsman,Leg-break,1972-11-15,2004-04-13
T Henderson,Right-hand batsman,Right-arm fast-medium,1974-08-01,2004-04-13
JP Kreusch,Right-hand batsman,Right-arm medium pace,1979-09-27,2004-04-13
J Botha,Right-hand batsman,Right-arm off-break,1982-05-02,2004-04-13
M Ntini,Right-hand batsman,Right-arm fast,1977-07-06,2004-04-13
M Zondeki,Right-hand batsman,Right-arm fast,1982-07-25,2004-04-13
JH Kallis,Right-hand batsman,Right-arm fast-medium,1975-10-16,2004-04-13
H Davids,Right-hand batsman,Right-arm medium-fast,1980-01-19,2004-04-13
ND McKenzie,Right-hand batsman,Right-arm medium pace,1975-11-24,2004-04-16
GJP Kruger,Right-hand batsman,Right-arm medium-fast,1977-01-05,2004-04-16
WR Wingfield,Right-hand batsman,Right-arm medium pace,1977-12-17,2004-04-16
JA Beukes,Left-hand batsman,Right-arm off-break,1979-03-15,2004-04-18
DJ Jacobs,Right-hand batsman,Right-arm medium pace,1982-11-04,2004-04-18
GJ Kruis,Right-hand batsman,Right-arm fast-medium,1974-05-09,2004-04-18
DL Makalima,Right-hand batsman,Right-arm off-break,1980-12-29,2004-04-18
WC Hantam,Left-hand batsman,Left-arm medium-fast,1983-09-21,2004-04-18
PR Adams,Right-hand batsman,Slow left-arm chinaman,1977-01-20,2004-04-18
ML Bruyns,Right-hand batsman,Right-arm medium pace,1973-11-08,2004-04-21
PC Strydom,Right-hand batsman,Slow left-arm orthodox,1969-06-10,2004-04-21
M Ngam,Right-hand batsman,Right-arm fast,1979-01-29,2004-04-21
TD Pillay,Right-hand batsman,Leg-break,1984-11-18,2004-04-21
RL Groeneveld,Right-hand batsman,Right-arm medium-fast,1981-10-05,2004-04-21
T Essack,Right-hand batsman,Right-arm medium pace,1982-01-07,2004-04-23
SC Cook,Right-hand batsman,Right-arm medium pace,1982-11-29,2004-04-23
DJ Terbrugge,Right-hand batsman,Right-arm fast-medium,1977-01-31,2004-04-23
MA Mashimbyi,Right-hand batsman,Right-arm medium-fast,1980-11-10,2004-04-25
MJ Harris,Left-hand batsman,Slow left-arm orthodox,1981-02-19,2004-04-25
GH Bhayat,Right-hand batsman,Right-arm medium-fast,1983-10-16,2004-04-25
RT Bailey,Right-hand batsman,Right-arm medium pace,1982-09-08,2004-04-28
BB Kops,Right-hand batsman,Left-arm fast,1982-11-01,2004-05-01
J Moss,Right-hand batsman,Right-arm medium pace,1975-05-04,2004-07-02
Hasan Adnan,Right-hand batsman,Right-arm off-break,1975-05-15,2004-07-02
AG Botha,Left-hand batsman,Slow left-arm orthodox,1976-11-17,2004-07-02
MA Sheikh,Left-hand batsman,Right-arm medium pace,1973-07-02,2004-07-02
Mohammad Ali,Right-hand batsman,Left-arm fast-medium,1973-11-08,2004-07-02
AW Gale,Left-hand batsman,Leg-break,1983-11-28,2004-07-02
